"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2015","2,080.40","2,090.90","2,093.80","2,080.40","","-0.46%"
"11/27/2015","2,090.10","2,088.80","2,093.30","2,084.10","","0.06%"
"11/25/2015","2,088.90","2,089.30","2,093.00","2,086.30","","-0.01%"
"11/24/2015","2,089.10","2,084.40","2,094.10","2,070.30","","0.12%"
"11/23/2015","2,086.60","2,089.40","2,095.60","2,081.40","","-0.12%"
"11/20/2015","2,089.20","2,082.80","2,097.10","2,082.80","","0.38%"
"11/19/2015","2,081.20","2,083.70","2,086.70","2,078.80","","-0.12%"
"11/18/2015","2,083.60","2,052.00","2,085.30","2,052.00","","1.62%"
"11/17/2015","2,050.40","2,053.70","2,066.70","2,045.90","","-0.14%"
"11/16/2015","2,053.20","2,022.10","2,053.20","2,019.40","","1.49%"
"11/13/2015","2,023.00","2,044.60","2,044.60","2,022.00","","-1.12%"
"11/12/2015","2,046.00","2,072.30","2,072.30","2,045.70","","-1.40%"
"11/11/2015","2,075.00","2,083.40","2,086.90","2,074.80","","-0.32%"
"11/10/2015","2,081.70","2,077.20","2,083.70","2,069.90","","0.15%"
"11/09/2015","2,078.60","2,096.60","2,096.60","2,068.20","","-0.98%"
"11/06/2015","2,099.20","2,098.60","2,101.90","2,083.70","","-0.03%"
"11/05/2015","2,099.90","2,101.70","2,108.80","2,090.40","","-0.11%"
"11/04/2015","2,102.30","2,110.60","2,114.60","2,097.00","","-0.36%"
"11/03/2015","2,109.80","2,102.60","2,116.50","2,097.50","","0.27%"
"11/02/2015","2,104.10","2,080.80","2,106.20","2,080.80","","1.19%"
"10/30/2015","2,079.40","2,090.00","2,094.30","2,079.30","","-0.48%"
"10/29/2015","2,089.40","2,088.30","2,092.50","2,082.60","","-0.04%"
"10/28/2015","2,090.30","2,066.50","2,090.30","2,063.10","","1.18%"
"10/27/2015","2,065.90","2,068.80","2,070.40","2,058.80","","-0.26%"
"10/26/2015","2,071.20","2,075.10","2,075.10","2,066.50","","-0.19%"
"10/23/2015","2,075.20","2,058.20","2,079.70","2,058.20","","1.11%"
"10/22/2015","2,052.50","2,021.90","2,055.20","2,021.90","","1.66%"
"10/21/2015","2,018.90","2,033.50","2,038.00","2,017.20","","-0.59%"
"10/20/2015","2,030.80","2,033.10","2,039.10","2,026.60","","-0.14%"
"10/19/2015","2,033.70","2,031.70","2,034.50","2,022.30","","0.03%"
"10/16/2015","2,033.10","2,024.40","2,033.50","2,020.50","","0.45%"
"10/15/2015","2,023.90","1,996.50","2,024.20","1,996.50","","1.49%"
"10/14/2015","1,994.20","2,003.70","2,009.60","1,990.70","","-0.47%"
"10/13/2015","2,003.70","2,015.00","2,022.30","2,001.80","","-0.68%"
"10/12/2015","2,017.50","2,015.70","2,018.70","2,010.50","","0.13%"
"10/09/2015","2,014.90","2,013.70","2,020.10","2,007.60","","0.07%"
"10/08/2015","2,013.40","1,994.00","2,016.50","1,987.50","","0.88%"
"10/07/2015","1,995.80","1,982.30","1,999.30","1,976.40","","0.80%"
"10/06/2015","1,979.90","1,986.60","1,991.60","1,972.00","","-0.36%"
"10/05/2015","1,987.00","1,954.30","1,989.20","1,954.30","","1.82%"
"10/02/2015","1,951.40","1,921.80","1,951.40","1,893.70","","1.43%"
"10/01/2015","1,923.80","1,919.70","1,927.20","1,900.70","","0.20%"
"09/30/2015","1,920.00","1,887.10","1,920.50","1,887.10","","1.91%"
"09/29/2015","1,884.10","1,881.90","1,899.50","1,871.90","","0.12%"
"09/28/2015","1,881.80","1,929.20","1,929.20","1,879.20","","-2.56%"
"09/25/2015","1,931.30","1,935.90","1,952.90","1,921.50","","-0.05%"
"09/24/2015","1,932.20","1,934.80","1,937.20","1,908.90","","-0.34%"
