"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2016","4,975.40","4,976.20","4,980.00","4,925.80","588.54M","-0.02%"
"02/05/2016","4,976.20","4,980.40","4,983.30","4,932.90","709.73M","-0.08%"
"02/04/2016","4,980.40","4,876.80","4,989.40","4,876.80","758.32M","2.12%"
"02/03/2016","4,876.80","4,993.30","4,993.30","4,873.60","638.59M","-2.33%"
"02/02/2016","4,993.30","5,043.60","5,045.40","4,982.20","608.40M","-1.00%"
"02/01/2016","5,043.60","5,005.50","5,073.00","5,005.50","644.03M","0.76%"
"01/29/2016","5,005.50","4,976.20","5,008.50","4,947.60","813.06M","0.59%"
"01/28/2016","4,976.20","4,946.40","4,988.90","4,909.40","650.36M","0.60%"
"01/27/2016","4,946.40","5,006.60","5,009.50","4,937.90","672.26M","-1.20%"
"01/25/2016","5,006.60","4,916.00","5,006.60","4,916.00","537.19M","1.84%"
"01/22/2016","4,916.00","4,883.60","4,932.10","4,864.00","648.06M","1.07%"
"01/21/2016","4,864.00","4,841.50","4,928.10","4,841.50","730.82M","0.46%"
"01/20/2016","4,841.50","4,903.10","4,930.10","4,836.80","670.63M","-1.26%"
"01/19/2016","4,903.10","4,857.30","4,903.10","4,840.20","539.06M","0.91%"
"01/18/2016","4,858.70","4,869.20","4,892.80","4,803.90","529.16M","-0.70%"
"01/15/2016","4,892.80","4,929.80","4,997.10","4,870.30","563.35M","-0.34%"
"01/14/2016","4,909.40","4,987.40","4,987.40","4,865.00","597.89M","-1.56%"
"01/13/2016","4,987.40","4,925.10","4,992.40","4,925.10","584.76M","1.26%"
"01/12/2016","4,925.10","4,932.20","4,983.70","4,910.70","629.07M","-0.14%"
"01/11/2016","4,932.20","4,990.80","4,990.80","4,880.10","600.00M","-1.17%"
"01/08/2016","4,990.80","5,010.30","5,034.30","4,940.30","642.31M","-0.39%"
"01/07/2016","5,010.30","5,123.10","5,124.10","4,996.50","648.32M","-2.20%"
"01/06/2016","5,123.10","5,184.40","5,191.10","5,094.80","519.04M","-1.18%"
"01/05/2016","5,184.40","5,270.50","5,270.50","5,183.70","446.53M","-1.63%"
"01/04/2016","5,270.50","5,295.90","5,331.40","5,263.80","366.63M","-0.48%"
"12/31/2015","5,295.90","5,319.90","5,325.80","5,295.90","259.98M","-0.45%"
"12/30/2015","5,319.90","5,267.30","5,324.30","5,267.30","340.34M","1.00%"
"12/29/2015","5,267.30","5,207.60","5,267.30","5,189.10","361.14M","1.15%"
"12/24/2015","5,207.60","5,141.80","5,211.50","5,141.80","236.04M","1.28%"
"12/23/2015","5,141.80","5,116.70","5,168.60","5,116.70","400.47M","0.49%"
"12/22/2015","5,116.70","5,109.00","5,159.90","5,103.10","498.46M","0.15%"
"12/21/2015","5,109.00","5,106.70","5,126.30","5,075.20","483.58M","0.05%"
"12/18/2015","5,106.70","5,102.00","5,112.70","5,026.60","1.12B","0.09%"
"12/17/2015","5,102.00","5,028.40","5,129.10","5,028.40","1.00B","1.46%"
"12/16/2015","5,028.40","4,909.60","5,028.40","4,909.60","855.71M","2.42%"
"12/15/2015","4,909.60","4,928.60","4,969.40","4,909.60","674.52M","-0.39%"
"12/14/2015","4,928.60","5,029.50","5,029.50","4,928.00","692.90M","-2.01%"
"12/11/2015","5,029.50","5,037.70","5,067.40","5,015.30","629.59M","-0.16%"
