"Date","Price","Open","High","Low","Vol.","Change %"
"11/27/2018","1,805.43","1,795.26","1,807.06","1,785.19","31.45M","0.99%"
"11/26/2018","1,787.72","1,763.28","1,787.90","1,763.28","29.34M","1.27%"
"11/25/2018","1,765.36","1,765.36","1,765.36","1,765.36","","0.00%"
"11/23/2018","1,765.36","1,776.00","1,778.57","1,754.31","20.65M","-0.51%"
"11/22/2018","1,774.47","1,776.51","1,782.04","1,769.89","26.39M","-0.01%"
"11/21/2018","1,774.68","1,763.17","1,776.44","1,755.27","33.63M","-0.74%"
"11/20/2018","1,787.91","1,781.92","1,795.11","1,780.65","33.22M","-1.24%"
"11/19/2018","1,810.30","1,812.22","1,824.60","1,801.63","27.75M","-0.07%"
"11/18/2018","1,811.51","1,811.51","1,811.51","1,811.51","","0.00%"
"11/16/2018","1,811.51","1,823.01","1,825.76","1,807.17","27.74M","-0.07%"
"11/15/2018","1,812.77","1,791.34","1,813.82","1,789.51","27.96M","0.77%"
"11/14/2018","1,798.93","1,802.41","1,806.34","1,791.16","32.14M","-0.28%"
"11/13/2018","1,803.97","1,787.83","1,805.01","1,770.82","36.65M","-0.79%"
"11/12/2018","1,818.41","1,797.03","1,822.71","1,797.03","35.85M","0.13%"
"11/11/2018","1,816.00","1,816.00","1,816.00","1,816.00","","0.00%"
"11/09/2018","1,816.00","1,820.66","1,831.32","1,812.46","34.97M","-0.21%"
"11/08/2018","1,819.78","1,841.74","1,850.72","1,819.45","41.82M","0.37%"
"11/07/2018","1,813.06","1,813.27","1,829.31","1,809.64","35.92M","-0.19%"
"11/06/2018","1,816.47","1,812.55","1,818.48","1,795.31","27.35M","0.49%"
"11/05/2018","1,807.67","1,808.52","1,810.48","1,783.62","34.62M","-0.99%"
"11/02/2018","1,825.69","1,784.82","1,826.33","1,782.08","47.23M","3.60%"
"11/01/2018","1,762.26","1,776.09","1,788.49","1,761.39","40.90M","-0.47%"
"10/31/2018","1,770.64","1,770.12","1,770.64","1,750.19","52.07M","0.54%"
"10/30/2018","1,761.16","1,738.04","1,777.90","1,738.04","53.50M","0.92%"
"10/29/2018","1,745.09","1,756.71","1,771.82","1,742.87","47.65M","-0.66%"
"10/26/2018","1,756.66","1,779.04","1,779.04","1,740.07","51.92M","-1.13%"
"10/25/2018","1,776.78","1,761.94","1,780.76","1,755.26","65.38M","-1.83%"
"10/24/2018","1,809.99","1,828.57","1,828.97","1,805.27","46.54M","-0.55%"
"10/23/2018","1,819.91","1,847.93","1,848.02","1,807.68","42.37M","-2.31%"
"10/22/2018","1,862.89","1,844.82","1,867.62","1,841.30","25.55M","0.27%"
"10/19/2018","1,857.79","1,832.63","1,860.35","1,827.06","31.91M","0.49%"
"10/18/2018","1,848.81","1,855.59","1,864.87","1,848.45","30.04M","-0.92%"
"10/17/2018","1,866.00","1,864.66","1,877.78","1,860.24","32.92M","1.16%"
"10/16/2018","1,844.60","1,858.57","1,863.37","1,839.34","25.61M","-0.15%"
"10/15/2018","1,847.45","1,856.59","1,857.67","1,842.38","31.26M","-0.89%"
"10/12/2018","1,864.05","1,840.15","1,877.68","1,838.22","46.24M","1.57%"
